WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
2024/06/07, 00:00:58.419, 49.818, -49.628, 10.83, 29.670, 38.810000, 10.590, 5.5, 5.6, 1010.8, 1011.0, 0.0, 0.0, 0.000, 0.000, 88, 81, 6.1, 6.8, 100.0, 100.0, 7.6, 7.5, 163.0, 155.0, 1012.9, 1013.1, -5.040, 360.050, 0.14, 31.1613, 5.0198, 97.000, 0.0, 1466.005, NAN, NAN, NAN, NAN
2024/06/07, 00:01:58.419, 49.821, -49.626, 10.99, 30.710, 31.060000, 10.900, 5.5, 5.6, 1010.8, 1010.8, 0.0, 0.0, 0.000, 0.000, 90, 82, 6.3, 7.1, 100.0, 100.0, 8.3, 8.3, 163.1, 154.6, 1012.9, 1012.9, -5.070, 359.550, 0.13, 31.1612, 5.0666, 97.000, 0.0, 1466.197, NAN, NAN, NAN, NAN
2024/06/07, 00:02:58.419, 49.823, -49.623, 10.95, 29.100, 32.610000, 11.030, 5.6, 5.6, 1011.0, 1010.9, 0.0, 0.0, 0.000, 0.000, 92, 85, 5.8, 6.2, 100.0, 100.0, 8.0, 7.7, 166.4, 160.6, 1013.1, 1013.0, -5.020, 359.660, 0.11, 31.1614, 5.0564, 97.000, 0.0, 1466.156, NAN, NAN, NAN, NAN
2024/06/07, 00:03:58.419, 49.826, -49.621, 11.01, 30.600, 34.410000, 10.910, 5.6, 5.6, 1011.1, 1011.1, 0.0, 0.0, 0.000, 0.000, 95, 86, 6.2, 6.6, 100.0, 100.0, 8.5, 8.1, 166.7, 159.8, 1013.2, 1013.2, -5.000, 359.870, 0.09, 31.1607, 5.0204, 97.000, 0.0, 1466.007, NAN, NAN, NAN, NAN
2024/06/07, 00:04:58.419, 49.828, -49.618, 10.98, 31.070, 33.710000, 10.760, 5.6, 5.6, 1011.0, 1010.9, 0.0, 0.0, 0.000, 0.000, 91, 82, 5.8, 6.2, 100.0, 100.0, 7.9, 7.6, 166.2, 159.1, 1013.1, 1013.0, -5.090, 359.820, 0.08, 31.1614, 4.9742, 96.100, 0.0, 1465.818, NAN, NAN, NAN, NAN
2024/06/07, 00:05:58.419, 49.831, -49.616, 11.02, 29.490, 34.220000, 10.770, 5.6, 5.6, 1011.0, 1010.9, 0.0, 0.0, 0.000, 0.000, 90, 82, 5.9, 6.5, 100.0, 100.0, 7.8, 7.6, 164.8, 157.0, 1013.1, 1013.0, -5.040, 360.070, 0.06, 31.1613, 4.9362, 97.300, 0.0, 1465.662, NAN, NAN, NAN, NAN
2024/06/07, 00:06:58.419, 49.833, -49.613, 10.99, 29.950, 33.380000, 10.770, 5.6, 5.6, 1011.0, 1011.0, 0.0, 0.0, 0.000, 0.000, 95, 86, 6.4, 6.6, 100.0, 100.0, 8.6, 8.1, 164.8, 158.6, 1013.1, 1013.1, -5.100, 359.670, 0.05, 31.1611, 4.8972, 98.200, 0.0, 1465.501, NAN, NAN, NAN, NAN
2024/06/07, 00:07:58.419, 49.836, -49.611, 10.99, 30.040, 27.970000, 10.970, 5.6, 5.6, 1010.9, 1011.0, 0.0, 0.0, 0.000, 0.000, 87, 78, 6.4, 7.1, 100.0, 100.0, 8.2, 8.0, 160.1, 151.2, 1013.0, 1013.1, -5.000, 359.540, 0.05, 31.1608, 4.8661, 96.100, 0.0, 1465.373, NAN, NAN, NAN, NAN
2024/06/07, 00:08:58.419, 49.838, -49.608, 11.03, 30.460, 30.400000, 11.000, 5.6, 5.6, 1011.2, 1011.2, 0.0, 0.0, 0.000, 0.000, 84, 77, 6.3, 6.9, 100.0, 100.0, 8.0, 7.8, 159.4, 152.1, 1013.3, 1013.3, -5.070, 359.570, 0.04, 31.1609, 4.8444, 96.700, 0.0, 1465.283, NAN, NAN, NAN, NAN
2024/06/07, 00:09:58.419, 49.841, -49.606, 11.10, 29.320, 30.060000, 10.840, 5.6, 5.6, 1011.1, 1011.1, 0.0, 0.0, 0.000, 0.000, 84, 76, 6.1, 6.9, 100.0, 100.0, 7.7, 7.7, 158.9, 149.9, 1013.2, 1013.2, -5.060, 359.520, 0.03, 31.1607, 4.8210, 96.700, 0.0, 1465.187, NAN, NAN, NAN, NAN
2024/06/07, 00:10:58.419, 49.843, -49.603, 11.09, 30.620, 37.050000, 10.990, 5.6, 5.6, 1011.0, 1011.0, 0.0, 0.0, 0.000, 0.000, 84, 76, 6.6, 7.2, 100.0, 100.0, 7.9, 7.6, 159.4, 151.2, 1013.1, 1013.1, -5.130, 359.820, 0.02, 31.1613, 4.8043, 96.700, 0.0, 1465.118, NAN, NAN, NAN, NAN
2024/06/07, 00:11:58.419, 49.846, -49.601, 11.16, 29.670, 36.660000, 11.130, 5.5, 5.6, 1011.1, 1011.1, 0.0, 0.0, 0.000, 0.000, 80, 74, 6.6, 7.2, 100.0, 100.0, 7.6, 7.5, 156.7, 149.6, 1013.2, 1013.2, -5.100, 359.060, 0.02, 31.1621, 4.7939, 96.100, 0.0, 1465.077, NAN, NAN, NAN, NAN
2024/06/07, 00:12:58.420, 49.849, -49.598, 10.99, 29.780, 34.940000, 10.820, 5.5, 5.6, 1011.1, 1011.1, 0.0, 0.0, 0.000, 0.000, 80, 72, 6.6, 7.3, 100.0, 100.0, 7.5, 7.3, 155.7, 146.6, 1013.2, 1013.2, -5.100, 359.090, 0.02, 31.1617, 4.7870, 96.400, 0.0, 1465.048, NAN, NAN, NAN, NAN
2024/06/07, 00:13:58.420, 49.851, -49.596, 11.17, 31.040, 36.040000, 11.140, 5.5, 5.5, 1011.1, 1011.0, 0.0, 0.0, 0.000, 0.000, 77, 72, 6.5, 7.1, 100.0, 100.0, 7.3, 7.3, 156.5, 149.9, 1013.2, 1013.1, -5.060, 359.350, 0.01, 31.1613, 4.7854, 98.500, 0.0, 1465.040, NAN, NAN, NAN, NAN
2024/06/07, 00:14:58.420, 49.854, -49.593, 11.14, 30.080, 39.920000, 10.830, 5.5, 5.5, 1011.2, 1011.2, 0.0, 0.0, 0.000, 0.000, 78, 72, 6.8, 7.5, 100.0, 100.0, 7.2, 7.2, 154.7, 146.5, 1013.3, 1013.3, -5.140, 359.200, 0.01, 31.1617, 4.7860, 98.500, 0.0, 1465.043, NAN, NAN, NAN, NAN
2024/06/07, 00:15:58.420, 49.856, -49.590, 11.16, 29.000, 33.170000, 11.100, 5.5, 5.5, 1011.0, 1011.1, 0.0, 0.0, 0.000, 0.000, 79, 73, 6.7, 7.4, 100.0, 100.0, 7.6, 7.6, 154.4, 146.7, 1013.1, 1013.2, -5.100, 358.750, 0.01, 31.1613, 4.7881, 97.300, 0.0, 1465.052, NAN, NAN, NAN, NAN
2024/06/07, 00:16:58.420, 49.859, -49.588, 11.20, 30.520, 36.500000, 11.080, 5.5, 5.5, 1011.1, 1011.1, 0.0, 0.0, 0.000, 0.000, 81, 74, 6.9, 7.5, 100.0, 100.0, 7.9, 7.7, 156.2, 148.5, 1013.2, 1013.2, -5.120, 359.020, 0.01, 31.1609, 4.7947, 98.200, 0.0, 1465.078, NAN, NAN, NAN, NAN
2024/06/07, 00:17:58.420, 49.861, -49.585, 11.10, 28.660, 36.150000, 10.900, 5.5, 5.6, 1010.9, 1011.0, 0.0, 0.0, 0.000, 0.000, 79, 72, 6.7, 7.3, 100.0, 100.0, 7.4, 7.2, 154.1, 146.0, 1013.0, 1013.1, -5.080, 358.280, 0.00, 31.1609, 4.8026, 96.700, 0.0, 1465.111, NAN, NAN, NAN, NAN
2024/06/07, 00:18:58.420, 49.864, -49.583, 11.14, 30.140, 30.280000, 11.030, 5.5, 5.5, 1011.0, 1011.0, 0.0, 0.0, 0.000, 0.000, 79, 73, 6.8, 7.5, 100.0, 100.0, 7.8, 7.8, 154.2, 146.7, 1013.1, 1013.1, -5.090, 357.650, 0.00, 31.1608, 4.8102, 98.000, 0.0, 1465.142, NAN, NAN, NAN, NAN
2024/06/07, 00:19:58.420, 49.866, -49.580, 11.03, 30.570, 36.250000, 11.140, 5.5, 5.6, 1011.1, 1011.1, 0.0, 0.0, 0.000, 0.000, 79, 72, 6.9, 7.6, 100.0, 100.0, 7.7, 7.6, 155.4, 147.0, 1013.2, 1013.2, -5.060, 357.950, 0.00, 31.1606, 4.8146, 96.400, 0.0, 1465.160, NAN, NAN, NAN, NAN
2024/06/07, 00:20:58.420, 49.869, -49.578, 11.05, 29.890, 34.090000, 10.980, 5.5, 5.6, 1011.1, 1011.1, 0.0, 0.0, 0.000, 0.000, 78, 72, 6.8, 7.5, 100.0, 100.0, 7.5, 7.5, 154.1, 146.2, 1013.2, 1013.2, -5.040, 357.410, -0.00, 31.1608, 4.8167, 96.400, 0.0, 1465.169, NAN, NAN, NAN, NAN
2024/06/07, 00:21:58.420, 49.872, -49.575, 11.11, 29.690, 30.210000, 11.050, 5.5, 5.6, 1011.2, 1011.1, 0.0, 0.0, 0.000, 0.000, 79, 73, 7.0, 7.7, 100.0, 100.0, 7.9, 7.9, 152.9, 145.4, 1013.3, 1013.2, -5.090, 359.030, -0.00, 31.1615, 4.8151, 96.100, 0.0, 1465.163, NAN, NAN, NAN, NAN
2024/06/07, 00:22:58.420, 49.874, -49.573, 11.09, 29.900, 33.340000, 10.870, 5.5, 5.5, 1011.2, 1011.2, 0.0, 0.0, 0.000, 0.000, 76, 69, 6.8, 7.7, 100.0, 100.0, 7.3, 7.3, 152.3, 142.4, 1013.3, 1013.3, -5.100, 359.320, -0.01, 31.1611, 4.8156, 96.700, 0.0, 1465.165, NAN, NAN, NAN, NAN
2024/06/07, 00:23:58.420, 49.877, -49.570, 11.09, 29.830, 30.480000, 10.940, 5.5, 5.6, 1011.1, 1011.2, 0.0, 0.0, 0.000, 0.000, 77, 71, 6.6, 7.3, 100.0, 100.0, 7.5, 7.4, 153.5, 145.7, 1013.2, 1013.3, -5.140, 359.500, -0.01, 31.1612, 4.8055, 98.000, 0.0, 1465.123, NAN, NAN, NAN, NAN
2024/06/07, 00:24:58.420, 49.879, -49.567, 11.19, 29.100, 36.990000, 11.030, 5.5, 5.6, 1011.1, 1011.1, 0.0, 0.0, 0.000, 0.000, 78, 72, 7.0, 7.6, 100.0, 100.0, 7.5, 7.4, 153.0, 145.6, 1013.2, 1013.2, -5.170, 359.370, -0.00, 31.1609, 4.7790, 96.700, 0.0, 1465.013, NAN, NAN, NAN, NAN
2024/06/07, 00:25:58.420, 49.882, -49.565, 11.21, 30.720, 35.600000, 10.990, 5.5, 5.6, 1011.1, 1011.2, 0.0, 0.0, 0.000, 0.000, 79, 73, 7.2, 7.8, 100.0, 100.0, 7.9, 7.8, 153.4, 146.2, 1013.2, 1013.3, -5.070, 359.510, -0.01, 31.1611, 4.7519, 97.300, 0.0, 1464.902, NAN, NAN, NAN, NAN
2024/06/07, 00:26:58.420, 49.884, -49.562, 11.23, 29.570, 31.620000, 11.000, 5.6, 5.6, 1011.2, 1011.2, 0.0, 0.0, 0.000, 0.000, 81, 74, 6.9, 7.6, 100.0, 100.0, 8.0, 7.9, 154.5, 146.4, 1013.3, 1013.3, -5.000, 359.360, -0.01, 31.1604, 4.7348, 97.300, 0.0, 1464.830, NAN, NAN, NAN, NAN
